,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Pin,Pout,Gain,Pdc1,Pdc2,PAE,Load Gamma,r,x
1466,"(55,)",3,3,(4.3914e-10+1.5881e-10j),(0.0014045+0.0029926j),(1.5933e-09+1.8664e-10j),(0.0070292+0.0089038j),,,,,-5.4641375049998915e-06,6.434365353999872e-05,-11.775628538103563,,,,(9.994326467648081e-08-1.0004479030706904e-07j),9.994326467648081e-08,-1.0004479030706904e-07
1467,"(55,)",4,1,(0.10012+1.0689e-08j),(-0.04782-0.040942j),(0.0054502+0.19745j),(0.0068128+0.24681j),-0.3,8.0395e-10,3.0,0.027227,0.0030305073180000564,0.010972691581900004,3.6207441297786693,-2.41185e-10,0.081681,0.09723417029541688,(0.8000080927594772+3.8545582337128895e-07j),0.8000080927594772,3.8545582337128895e-07
1468,"(55,)",4,2,(-5.5348e-10+1.1627e-09j),(-0.0085835+0.0030472j),(-2.4586e-10+4.7929e-09j),(-0.025207+0.022724j),,,,,-4.1480950044999176e-05,0.0005758865124999885,-13.883156289218494,,,,(9.994265373596503e-08-1.0004376310167533e-07j),9.994265373596503e-08,-1.0004376310167533e-07
1469,"(55,)",4,3,(5.4353e-10+3.604e-10j),(0.00091518+0.0045207j),(2.0982e-09+7.7944e-10j),(0.0065868+0.014392j),,,,,-1.0637141461199788e-05,0.0001252577991199975,-11.775513146731189,,,,(9.994636827369474e-08-1.0004678025672784e-07j),9.994636827369474e-08,-1.0004678025672784e-07
1470,"(55,)",5,1,(0.11233+1.1023e-08j),(-0.050157-0.052297j),(0.0002132+0.20606j),(0.0002665+0.25757j),-0.3,1.3657e-08,3.0,0.025189,0.0036836640210000603,0.011940803434005009,3.2415560610121164,-4.0971e-09,0.075567,0.1092691176440106,(0.8000155297422752+1.606816134006602e-08j),0.8000155297422752,1.606816134006602e-08
1471,"(55,)",5,2,(-8.3672e-10+1.465e-09j),(-0.011511+0.0031446j),(-7.8829e-10+6.2379e-09j),(-0.035147+0.027232j),,,,,-7.119581507999857e-05,0.0009884467164999803,-13.883494632224107,,,,(9.994292971582752e-08-1.0004421822569733e-07j),9.994292971582752e-08,-1.0004421822569733e-07
1472,"(55,)",5,3,(5.6866e-10+6.1145e-10j),(-0.00020763+0.0059068j),(2.3824e-09+1.5971e-09j),(0.0039166+0.0199j),,,,,-1.7466698228449652e-05,0.00020567487777999592,-11.775257984648405,,,,(9.994705790946597e-08-1.0004760567797915e-07j),9.994705790946597e-08,-1.0004760567797915e-07
1473,"(55,)",6,1,(0.12604+1.1197e-08j),(-0.051371-0.065525j),(-0.0044272+0.21254j),(-0.005534+0.26568j),-0.3,5.0486e-08,3.0,0.023783,0.0044767881670000655,0.012711817928080002,2.8394950696535415,-1.5145799999999998e-08,0.071349,0.11541899341378208,(0.799984950823288+3.134678708371623e-07j),0.799984950823288,3.134678708371623e-07
1474,"(55,)",6,2,(-1.0851e-09+1.7704e-09j),(-0.014271+0.003421j),(-1.2099e-09+7.6376e-09j),(-0.044257+0.032118j),,,,,-0.00010768234099999785,0.0014951239864999701,-13.884579148404658,,,,(9.994187231240705e-08-1.0004444370540504e-07j),9.994187231240705e-08,-1.0004444370540504e-07
1475,"(55,)",6,3,(5.0518e-10+8.9147e-10j),(-0.001937+0.0069804j),(2.3826e-09+2.5849e-09j),(-0.0010242+0.024838j),,,,,-2.623897657999948e-05,0.0003089876148199938,-11.775901925058996,,,,(9.994492387013664e-08-1.000468472110393e-07j),9.994492387013664e-08,-1.000468472110393e-07
1476,"(55,)",7,1,(0.14142+1.1229e-08j),(-0.051525-0.080655j),(-0.0083521+0.21729j),(-0.01044+0.27162j),-0.3,1.1036e-07,3.0,0.023178,0.005419780875000062,0.013300858162794992,2.454132089389101,-3.3108e-08,0.069534,0.11334134794194108,(0.799977957031291+1.2154060574343853e-06j),0.799977957031291,1.2154060574343853e-06
1477,"(55,)",7,2,(-1.2881e-09+2.0641e-09j),(-0.01676+0.0038778j),(-1.4889e-09+8.9413e-09j),(-0.052174+0.037238j),,,,,-0.00014796746641999707,0.0020543974599999586,-13.884115945924698,,,,(9.99412251025661e-08-1.0004386590314419e-07j),9.99412251025661e-08,-1.0004386590314419e-07
1478,"(55,)",7,3,(3.7784e-10+1.182e-09j),(-0.0040243+0.0077933j),(2.1837e-09+3.6536e-09j),(-0.0073647+0.029185j),,,,,-3.846525768999923e-05,0.0004530015155449909,-11.776900578590665,,,,(9.994229324052361e-08-1.0004265914094514e-07j),9.994229324052361e-08,-1.0004265914094514e-07
1479,"(55,)",8,1,(0.15868+1.1219e-08j),(-0.050999-0.097721j),(-0.011878+0.22128j),(-0.014848+0.27659j),-0.3,1.9347e-07,3.0,0.022963,0.006514525279000062,0.013808282960000012,2.1196146102175377,-5.8041e-08,0.068889,0.10587695685813336,(0.800028763153612-2.990257438201644e-06j),0.800028763153612,-2.990257438201644e-06
1480,"(55,)",8,2,(-1.5003e-09+2.3308e-09j),(-0.019167+0.0041587j),(-1.8372e-09+1.017e-08j),(-0.060061+0.041636j),,,,,-0.00019233433734499618,0.002670440108499947,-13.884364827222162,,,,(9.994273743510919e-08-1.0004469096671373e-07j),9.994273743510919e-08,-1.0004469096671373e-07
1481,"(55,)",8,3,(2.3002e-10+1.4627e-09j),(-0.0061679+0.0084582j),(1.9094e-09+4.7077e-09j),(-0.014009+0.033081j),,,,,-5.47920688249989e-05,0.0006453023209999871,-11.77729432084462,,,,(9.994279805170577e-08-1.0004227979524036e-07j),9.994279805170577e-08,-1.0004227979524036e-07
1482,"(55,)",9,1,(0.17804+1.1099e-08j),(-0.049905-0.11687j),(-0.015086+0.22487j),(-0.018858+0.28109j),-0.3,2.9287e-07,3.0,0.023011,0.007774567837500062,0.014286553984,1.8376010451783373,-8.7861e-08,0.069033,0.0943314957556522,(0.7999928216805939-9.414466990628931e-07j),0.7999928216805939,-9.414466990628931e-07
1483,"(55,)",9,2,(-1.735e-09+2.574e-09j),(-0.021544+0.00419j),(-2.3011e-09+1.1334e-08j),(-0.068203+0.045133j),,,,,-0.00024085001799999516,0.003344318448999933,-13.885481416073633,,,,(9.994253769402329e-08-1.0004389024318062e-07j),9.994253769402329e-08,-1.0004389024318062e-07
1484,"(55,)",9,3,(6.6625e-11+1.727e-09j),(-0.0082977+0.0089798j),(1.5795e-09+5.7194e-09j),(-0.020719+0.036486j),,,,,-7.474431666499852e-05,0.0008802525784999824,-11.776849635875921,,,,(9.994425020590837e-08-1.0004508359415163e-07j),9.994425020590837e-08,-1.0004508359415163e-07
1485,"(56,)",1,1,(0.070879+8.3233e-09j),(-0.03004-0.017708j),(0.050866+0.14496j),(0.014519+0.19148j),-0.3,1.5862e-12,3.0,0.03375,0.0019039288885000344,0.006637320102500002,3.4861176499764435,-4.7586e-13,0.10125,0.04674954285432066,(0.772750142932373-0.20705264609758134j),0.772750142932373,-0.20705264609758134
1486,"(56,)",1,2,(5.3135e-11+2.7719e-10j),(-0.0011198+0.0016505j),(5.7793e-10+8.7773e-10j),(-0.0015028+0.007278j),,,,,-1.989051144999961e-06,2.7613845919999445e-05,-13.882924021041193,,,,(9.994271989477372e-08-1.0004450665812942e-07j),9.994271989477372e-08,-1.0004450665812942e-07
1487,"(56,)",1,3,(6.3778e-11-3.5491e-11j),(0.00049621+0.00014154j),(1.8533e-10-1.6838e-10j),(0.0017686+8.5683e-05j),,,,,-1.3312896784999728e-07,1.5676437682444685e-06,-11.77537686621898,,,,(9.994213634737209e-08-1.0004712318706993e-07j),9.994213634737209e-08,-1.0004712318706993e-07
1488,"(56,)",2,1,(0.079527+9.1038e-09j),(-0.033654-0.022183j),(0.052624+0.15972j),(0.011864+0.20988j),-0.3,6.0649e-12,3.0,0.033118,0.0023499332620000413,0.007955302560000006,3.385331272441841,-1.81947e-12,0.099354,0.05641815425649661,(0.7727105608998625-0.20705432583135136j),0.7727105608998625,-0.20705432583135136
1489,"(56,)",2,2,(2.9927e-11+4.7498e-10j),(-0.002224+0.0025251j),(7.8128e-10+1.5915e-09j),(-0.0040576+0.011863j),,,,,-5.661153004999887e-06,7.859744337999843e-05,-13.88364584221302,,,,(9.99386372915887e-08-1.0004139043027482e-07j),9.99386372915887e-08,-1.0004139043027482e-07
1490,"(56,)",2,3,(1.609e-10-4.1543e-11j),(0.0010118+0.00059694j),(5.0505e-10-2.6445e-10j),(0.0038471+0.001205j),,,,,-6.900383017999861e-07,8.126101704999836e-06,-11.776305291753589,,,,(9.994433148680361e-08-1.0004494799760814e-07j),9.994433148680361e-08,-1.0004494799760814e-07
1491,"(56,)",3,1,(0.089231+9.7778e-09j),(-0.037285-0.028631j),(0.052332+0.17373j),(0.0069797+0.22669j),-0.3,3.0197e-11,3.0,0.03198,0.002876132987500049,0.009258160594045006,3.218961235200828,-9.059100000000001e-12,0.09594,0.06652102987851738,(0.7727522888400751-0.20705995345883332j),0.7727522888400751,-0.20705995345883332
1492,"(56,)",3,2,(-5.482e-11+7.6503e-10j),(-0.0040923+0.0035502j),(9.039e-10+2.7077e-09j),(-0.0090287+0.018054j),,,,,-1.4675419664999704e-05,0.00020373216984499596,-13.882544724147762,,,,(9.994438752844669e-08-1.0004807198837302e-07j),9.994438752844669e-08,-1.0004807198837302e-07
1493,"(56,)",3,3,(3.0608e-10+4.4504e-12j),(0.0015074+0.0015554j),(1.0271e-09-2.2353e-10j),(0.0062513+0.0040211j),,,,,-2.3457619599999535e-06,2.762399844999945e-05,-11.776130281352161,,,,(9.994703983557459e-08-1.0004751681775453e-07j),9.994703983557459e-08,-1.0004751681775453e-07
1494,"(56,)",4,1,(0.10012+1.0354e-08j),(-0.040532-0.037139j),(0.05053+0.18628j),(0.00074268+0.24127j),-0.3,3.5861e-10,3.0,0.030516,0.003500933027500054,0.010479122586791206,2.9932370897920713,-1.07583e-10,0.091548,0.07622438020810014,(0.7727184294647753-0.2070548243743735j),0.7727184294647753,-0.2070548243743735
1495,"(56,)",4,2,(-2.1152e-10+1.1154e-09j),(-0.0066248+0.0045143j),(8.6306e-10+4.1349e-09j),(-0.016373+0.024983j),,,,,-3.213343976499936e-05,0.00044611270899999107,-13.883129607739956,,,,(9.994259692789877e-08-1.0004483606854607e-07j),9.994259692789877e-08,-1.0004483606854607e-07
1496,"(56,)",4,3,(4.5069e-10+1.3541e-10j),(0.0015782+0.0029284j),(1.6113e-09+9.8624e-11j),(0.0075594+0.0085539j),,,,,-5.5331208999998895e-06,6.51568667849987e-05,-11.775789461784578,,,,(9.994404040771281e-08-1.0004594640362126e-07j),9.994404040771281e-08,-1.0004594640362126e-07
1497,"(56,)",5,1,(0.11233+1.0771e-08j),(-0.043024-0.047691j),(0.047949+0.1969j),(-0.0058079+0.25325j),-0.3,7.192e-09,3.0,0.029096,0.004246266421500058,0.011550288800704994,2.720104594055283,-2.1576e-09,0.087288,0.08367727957113161,(0.7727440767306692-0.2070563487591078j),0.7727440767306692,-0.2070563487591078
1498,"(56,)",5,2,(-4.1076e-10+1.4945e-09j),(-0.009525+0.0054212j),(7.2021e-10+5.7296e-09j),(-0.025065+0.032239j),,,,,-6.0057517219998795e-05,0.0008338036729999833,-13.883418955626285,,,,(9.99422982573021e-08-1.0004229987962645e-07j),9.99422982573021e-08,-1.0004229987962645e-07
1499,"(56,)",5,3,(5.3477e-10+3.4297e-10j),(0.0009589+0.0043889j),(2.055e-09+7.2769e-10j),(0.00663+0.013918j),,,,,-1.00909662099998e-05,0.00011883381199999761,-11.776257052792168,,,,(9.994057676109893e-08-1.0004267682669306e-07j),9.994057676109893e-08,-1.0004267682669306e-07
1500,"(56,)",6,1,(0.12604+1.1014e-08j),(-0.044448-0.060309j),(0.045206+0.20519j),(-0.011803+0.26238j),-0.3,3.7726e-08,3.0,0.028237,0.005136640707500062,0.01241802833650001,2.4175388242296796,-1.13178e-08,0.08471100000000001,0.08595563302286535,(0.772719568970883-0.20705240137420283j),0.772719568970883,-0.20705240137420283
1501,"(56,)",6,2,(-5.9705e-10+1.8886e-09j),(-0.01244+0.0064691j),(6.4316e-10+7.3599e-09j),(-0.033606+0.040001j),,,,,-9.830142740499802e-05,0.0013647216184999728,-13.883029519778724,,,,(9.994321231601419e-08-1.0004378873258099e-07j),9.994321231601419e-08,-1.0004378873258099e-07
1502,"(56,)",6,3,(5.2608e-10+6.0784e-10j),(-0.00040899+0.0056687j),(2.2327e-09+1.6192e-09j),(0.0030579+0.019262j),,,,,-1.6150716255049676e-05,0.0001901876982049962,-11.775805803382386,,,,(9.994443407433949e-08-1.0004568139570537e-07j),9.994443407433949e-08,-1.0004568139570537e-07
